league_name,position,batsman_name
Friendly,1,Matt Davies
Friendly,2,Graham Stevens
Friendly,3,Toby Gallington
Friendly,4,Rakesh Shah
Friendly,5,Joe Braham
Friendly,6,Max Schofield
Friendly,7,James Wilson
Friendly,8,Jon Timms
Friendly,9,Ethin George
Friendly,10,Ben Richmond
Friendly,11,Stephen Boag
Friendly,1,James Goldsby-West
Friendly,2,Uday Pande
Friendly,3,Jamie Ross
Friendly,4,Graham Stevens
Friendly,5,Thomas Forrest
Friendly,6,Sandeep Gumudelli
Friendly,7,M Date
Friendly,8,Matthew Stoodley
Friendly,9,Ian Ross
Friendly,10,Stephen Boag
Friendly,11,William Nichols
Downs League,1,Uday Pande
Downs League,2,Paul Eccleston
Downs League,3,Max Schofield
Downs League,4,Ethin George
Downs League,5,Jon Timms
Downs League,6,Sachin Wadhwa
Downs League,7,Matthew Stoodley
Downs League,8,Sooraj Pradeep
Downs League,9,Patrick Harland
Downs League,10,Ben Richmond
Downs League,11,Stephen Boag
Cherwell League,1,Matt Davies
Cherwell League,2,Max Schofield
Cherwell League,3,Toby Gallington
Cherwell League,4,Graham Stevens
Cherwell League,5,Rakesh Shah
Cherwell League,6,Joe Braham
Cherwell League,7,Ethin George
Cherwell League,8,Thomas Forrest
Cherwell League,9,Jon Timms
Cherwell League,10,Ben Richmond
Cherwell League,11,Stephen Boag
Friendly,1,James Goldsby-West
Friendly,2,Uday Pande
Friendly,3,Dan Strangward
Friendly,4,Jamie Ross
Friendly,5,Jayesh Manwani
Friendly,6,Thomas Forrest
Friendly,7,Patrick Harland
Friendly,8,William Nichols
Friendly,9,Ben Richmond
Friendly,10,Stephen Boag
Friendly,11,Cordelia Williams
Downs League,1,James Goldsby-West
Downs League,2,Paul Eccleston
Downs League,3,Uday Pande
Downs League,4,Rakesh Shah
Downs League,5,Max Schofield
Downs League,6,Jayesh Manwani
Downs League,7,Toby Gallington
Downs League,8,Ethin George
Downs League,9,Patrick Harland
Downs League,10,Sachin Wadhwa
Downs League,11,Cordelia Williams
Cherwell League,1,Matt Davies
Cherwell League,2,James Goldsby-West
Cherwell League,3,Max Schofield
Cherwell League,4,Rakesh Shah
Cherwell League,5,Joe Braham
Cherwell League,6,Toby Gallington
Cherwell League,7,Thomas Forrest
Cherwell League,8,James Wilson
Cherwell League,9,Ethin George
Cherwell League,10,Jon Timms
Cherwell League,11,Lee Gallington
Friendly,1,Dan Strangward
Friendly,2,Uday Pande
Friendly,3,R Banerjee
Friendly,4,Andy Smith
Friendly,5,James Warren
Friendly,6,Rick Tanner
Friendly,7,Patrick Harland
Friendly,8,William Nichols
Friendly,9,Cordelia Williams
Friendly,10,Thomas Forrest
Friendly,11,Stephen Boag
Cherwell League,1,Matt Davies
Cherwell League,2,Max Schofield
Cherwell League,3,James Goldsby-West
Cherwell League,4,Graham Stevens
Cherwell League,5,Joe Braham
Cherwell League,6,Rakesh Shah
Cherwell League,7,Toby Gallington
Cherwell League,8,James Wilson
Cherwell League,9,Jon Timms
Cherwell League,10,Ethin George
Cherwell League,11,Ben Richmond
Downs League,1,Uday Pande
Downs League,2,Jayesh Manwani
Downs League,3,Raunakk Banerjee
Downs League,4,Paul Eccleston
Downs League,5,Rakesh Shah
Downs League,6,Ethin George
Downs League,7,Jon Timms
Downs League,8,Patrick Harland
Downs League,9,Matthew Stoodley
Downs League,10,Sachin Wadhwa
Downs League,11,Stephen Boag
