Team,Year,Division
Wolvercote 3,2024,Division 7C
Wolvercote 3,2023,Division 7C
Wolvercote 3,2022,Division 6C
East and West Hendred 2,2024,Division 7C
East and West Hendred 2,2023,Division 6C
East and West Hendred 2,2022,Division 6B
Harwell International 1,2024,Division 7C
Harwell International 1,2023,Division 7C
Harwell International 1,2022,Division 7C
Steventon 1,2024,Division 7C
Steventon 1,2023,Division 6C
Steventon 1,2022,Division 5C
Cumnor 3,2024,Division 7C
Cumnor 3,2023,Division 6C
Cumnor 3,2022,Division 6B
Letcombe 1,2024,Division 7C
Letcombe 1,2023,Division 8D
Letcombe 1,2022,Division 7C
Dorchester 2,2024,Division 7C
Dorchester 2,2023,Division 7C
Dorchester 2,2022,Division 8C
Challow and Childrey 3,2024,Division 7C
Challow and Childrey 3,2023,Division 7C
Challow and Childrey 3,2022,Division 7C
Didcot 4,2024,Division 7C
Didcot 4,2023,Division 8D
Didcot 4,2022,Division 8C
Abingdon Vale 3,2024,Division 7C
Abingdon Vale 3,2023,Division 7C
Abingdon Vale 3,2022,Division 6B
